#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
121 	 -1.121082e-02 	 -1.593944e-03 	 -2.564354e-02 	 -1.870791e-04 	 6.379794e-04 	 -1.403312e-03 	 9.878239e-05 	 -1.972226e-04 
122 	 -8.913581e-03 	 -1.989345e-03 	 -2.550641e-02 	 -2.018518e-04 	 1.867039e-03 	 -9.158483e-04 	 1.132763e-04 	 -2.031129e-04 
123 	 -7.002143e-03 	 -1.116054e-03 	 -2.535597e-02 	 -2.092843e-04 	 2.734248e-03 	 -1.846908e-03 	 1.345850e-04 	 -2.164771e-04 
124 	 -5.531449e-03 	 1.844451e-04 	 -2.519610e-02 	 -2.061091e-04 	 2.888155e-03 	 -3.312830e-03 	 1.567912e-04 	 -2.414477e-04 
125 	 -5.586582e-03 	 3.943363e-04 	 -2.503922e-02 	 -2.013055e-04 	 2.743304e-03 	 -2.390155e-03 	 1.774833e-04 	 -2.586374e-04 
126 	 -5.189087e-03 	 3.862694e-04 	 -2.488168e-02 	 -1.966422e-04 	 6.228938e-03 	 -1.549013e-03 	 2.255107e-04 	 -2.688784e-04 
127 	 -6.480918e-03 	 6.238321e-04 	 -2.473679e-02 	 -1.901818e-04 	 2.522900e-03 	 -9.807544e-04 	 2.436004e-04 	 -2.744838e-04 
128 	 -5.272904e-03 	 1.469982e-04 	 -2.458473e-02 	 -1.875476e-04 	 3.648569e-03 	 -1.850229e-03 	 2.702017e-04 	 -2.867943e-04 
129 	 -4.481680e-03 	 -5.840198e-04 	 -2.442889e-02 	 -1.906210e-04 	 1.461338e-03 	 -2.157025e-03 	 2.794354e-04 	 -3.012922e-04 
130 	 -5.265386e-03 	 7.180527e-05 	 -2.428148e-02 	 -1.886023e-04 	 2.841953e-03 	 -8.904366e-04 	 2.991470e-04 	 -3.058241e-04 
131 	 -2.980847e-03 	 1.211881e-03 	 -2.411888e-02 	 -1.779116e-04 	 1.990179e-03 	 3.189404e-04 	 3.120557e-04 	 -3.010549e-04 
132 	 -3.199227e-03 	 8.791099e-04 	 -2.396040e-02 	 -1.699039e-04 	 3.428380e-03 	 9.415932e-04 	 3.356642e-04 	 -2.916409e-04 
133 	 -4.935868e-03 	 -2.390109e-03 	 -2.381736e-02 	 -1.865972e-04 	 -2.487676e-03 	 1.411091e-03 	 3.144361e-04 	 -2.788384e-04 
134 	 -8.120403e-03 	 -1.460388e-03 	 -2.370021e-02 	 -1.961031e-04 	 -2.699103e-03 	 1.464703e-03 	 2.919470e-04 	 -2.658269e-04 
135 	 -8.647697e-03 	 -4.736341e-04 	 -2.358871e-02 	 -1.981589e-04 	 -3.948670e-03 	 -2.035719e-04 	 2.605350e-04 	 -2.653657e-04 
136 	 -5.236086e-03 	 -8.180032e-04 	 -2.345377e-02 	 -2.027165e-04 	 -4.296255e-03 	 6.844636e-04 	 2.270292e-04 	 -2.583817e-04 
137 	 -4.882543e-03 	 -4.002964e-04 	 -2.331821e-02 	 -2.041587e-04 	 -5.005329e-03 	 -2.953089e-04 	 1.888368e-04 	 -2.586512e-04 
138 	 -6.599555e-03 	 5.574418e-05 	 -2.319706e-02 	 -2.022754e-04 	 -6.236983e-04 	 -3.212280e-03 	 1.829488e-04 	 -2.800543e-04 
139 	 -7.434547e-03 	 -1.509862e-03 	 -2.308366e-02 	 -2.116825e-04 	 7.613854e-04 	 -1.134718e-03 	 1.871103e-04 	 -2.862030e-04 
140 	 -9.989156e-03 	 -3.144474e-03 	 -2.299013e-02 	 -2.326310e-04 	 8.271447e-04 	 -6.796348e-04 	 1.916819e-04 	 -2.890132e-04 
