#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
128 	 3.222822e-03 	 2.258959e-19 	 4.984214e-03 	 -1.314445e-20 	 1.470176e-03 	 -1.039672e-19 	 5.139832e-05 	 -3.283047e-20 
129 	 2.463261e-04 	 -2.182090e-19 	 4.947487e-03 	 -1.473410e-20 	 2.276652e-03 	 2.772871e-19 	 6.864835e-05 	 -3.042646e-20 
130 	 1.430293e-04 	 1.786627e-19 	 4.910529e-03 	 -1.324643e-20 	 8.390739e-04 	 4.063504e-19 	 7.457470e-05 	 -2.706664e-20 
131 	 2.154281e-03 	 1.283079e-19 	 4.889489e-03 	 -1.216587e-20 	 -1.838897e-03 	 2.067501e-19 	 5.996805e-05 	 -2.528178e-20 
132 	 2.690374e-03 	 5.422394e-20 	 4.872829e-03 	 -1.166291e-20 	 -1.174367e-03 	 1.225389e-19 	 5.061703e-05 	 -2.416192e-20 
133 	 8.988782e-03 	 3.704967e-19 	 4.903776e-03 	 -8.789531e-21 	 1.699469e-03 	 1.924281e-19 	 6.301441e-05 	 -2.253343e-20 
134 	 4.358813e-03 	 2.007782e-19 	 4.899709e-03 	 -7.225593e-21 	 4.129360e-04 	 -3.936974e-19 	 6.562576e-05 	 -2.530331e-20 
135 	 3.919370e-03 	 7.251802e-20 	 4.892448e-03 	 -6.634900e-21 	 2.177582e-03 	 -4.819578e-19 	 8.126988e-05 	 -2.868593e-20 
136 	 2.134658e-03 	 -3.370941e-20 	 4.872170e-03 	 -6.833977e-21 	 1.566711e-03 	 -2.098437e-19 	 9.219224e-05 	 -3.001797e-20 
137 	 6.266762e-03 	 2.618949e-20 	 4.882349e-03 	 -6.592930e-21 	 -2.757785e-03 	 -3.081227e-19 	 7.138948e-05 	 -3.204794e-20 
138 	 3.949784e-03 	 -1.206224e-19 	 4.875591e-03 	 -7.419231e-21 	 -4.430444e-03 	 1.216527e-19 	 3.876750e-05 	 -3.093416e-20 
139 	 4.056880e-03 	 -1.320221e-19 	 4.869701e-03 	 -8.315654e-21 	 -1.206973e-04 	 3.035654e-19 	 3.762027e-05 	 -2.852769e-20 
140 	 2.475361e-03 	 -2.403825e-19 	 4.852599e-03 	 -9.973274e-21 	 -6.915341e-04 	 3.668592e-19 	 3.241203e-05 	 -2.570350e-20 
141 	 5.795171e-03 	 2.332894e-19 	 4.859284e-03 	 -8.248007e-21 	 5.163302e-04 	 -4.869647e-19 	 3.584407e-05 	 -2.897486e-20 
142 	 6.461907e-03 	 2.503010e-20 	 4.870570e-03 	 -8.013654e-21 	 -3.914487e-03 	 2.124932e-19 	 8.024838e-06 	 -2.727438e-20 
