#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
284 	 2.171825e-02 	 6.296787e-20 	 9.974993e-03 	 6.423563e-18 
285 	 -1.601580e-02 	 3.343182e-18 	 -1.211009e-02 	 2.820933e-18 
286 	 -1.601580e-02 	 3.343182e-18 	 -1.211009e-02 	 2.820933e-18 
287 	 -1.601580e-02 	 3.343182e-18 	 -1.211009e-02 	 2.820933e-18 
288 	 -1.601580e-02 	 3.343182e-18 	 -1.211009e-02 	 2.820933e-18 
289 	 -4.189228e-03 	 -3.225418e-19 	 3.670813e-02 	 -2.972856e-18 
290 	 -4.189228e-03 	 -3.225418e-19 	 3.670813e-02 	 -2.972856e-18 
291 	 -4.189228e-03 	 -3.225418e-19 	 3.670813e-02 	 -2.972856e-18 
292 	 -1.409515e-02 	 2.304711e-18 	 1.032787e-01 	 3.297447e-18 
293 	 3.439925e-02 	 -9.304709e-19 	 8.830432e-02 	 -5.121182e-18 
294 	 3.439925e-02 	 -9.304709e-19 	 8.830432e-02 	 -5.121182e-18 
295 	 3.417499e-02 	 -3.014595e-18 	 9.247237e-02 	 -1.705276e-18 
296 	 3.417499e-02 	 -3.014595e-18 	 9.247237e-02 	 -1.705276e-18 
297 	 1.649163e-02 	 1.834715e-18 	 8.468537e-02 	 -1.072155e-18 
298 	 1.855372e-02 	 -1.108191e-18 	 2.206482e-02 	 7.415407e-19 
299 	 2.993241e-02 	 4.796219e-18 	 -6.042582e-03 	 1.181914e-18 
